uid,createDate,startTime,endTime,cpu_num,mem,gpu_num,worker_num
70fac551-3ed6-4192-a424-09cb80d78efc,1728305585,1728305588,1728305648,64m,448Mi,8,1
70fac551-3ed6-4192-a424-09cb80d78efc,1728305585,1728305588,1728305648,64m,448Mi,8,1
70fac551-3ed6-4192-a424-09cb80d78efc,1728305585,1728305588,1728305648,64m,448Mi,8,1
5f2921df-2ef9-4d99-ab70-5801fce1dc01,1728305625,1728305628,1728305653,64m,448Mi,8,1
5f2921df-2ef9-4d99-ab70-5801fce1dc01,1728305625,1728305628,1728305653,64m,448Mi,8,1
5f2921df-2ef9-4d99-ab70-5801fce1dc01,1728305625,1728305628,1728305653,64m,448Mi,8,1
6db44f7a-08d4-419a-8464-532dddf02402,1728305581,1728305583,1728305654,64m,896Mi,8,1
6db44f7a-08d4-419a-8464-532dddf02402,1728305581,1728305583,1728305654,64m,896Mi,8,1
6db44f7a-08d4-419a-8464-532dddf02402,1728305581,1728305583,1728305654,64m,896Mi,8,1
a53f2e81-d5ed-489c-ad14-6755c1dd95b6,1728305553,1728305556,1728305670,64m,448Mi,8,1
a53f2e81-d5ed-489c-ad14-6755c1dd95b6,1728305553,1728305556,1728305670,64m,448Mi,8,1
a53f2e81-d5ed-489c-ad14-6755c1dd95b6,1728305553,1728305556,1728305670,64m,448Mi,8,1
e9150b55-8fa7-4389-8398-21b08b8a245c,1728305656,1728305657,1728305676,64m,448Mi,8,1
e9150b55-8fa7-4389-8398-21b08b8a245c,1728305656,1728305657,1728305676,64m,448Mi,8,1
e9150b55-8fa7-4389-8398-21b08b8a245c,1728305656,1728305657,1728305676,64m,448Mi,8,1
e3f19e60-36b5-45d2-9c53-37ec30238819,1728305679,1728305680,1728305718,64m,448Mi,8,1
e3f19e60-36b5-45d2-9c53-37ec30238819,1728305679,1728305680,1728305718,64m,448Mi,8,1
e3f19e60-36b5-45d2-9c53-37ec30238819,1728305679,1728305680,1728305718,64m,448Mi,8,1
425f58a7-022b-477c-b1f3-4cdca08d7b36,1728305659,1728305661,1728305724,64m,448Mi,8,1
425f58a7-022b-477c-b1f3-4cdca08d7b36,1728305659,1728305661,1728305724,64m,448Mi,8,1
425f58a7-022b-477c-b1f3-4cdca08d7b36,1728305659,1728305661,1728305724,64m,448Mi,8,1
a47b14d2-84e8-4b99-8504-4d92cb479ce1,1728305682,1728305684,1728305744,64m,448Mi,8,4
a47b14d2-84e8-4b99-8504-4d92cb479ce1,1728305682,1728305684,1728305744,64m,448Mi,8,4
a47b14d2-84e8-4b99-8504-4d92cb479ce1,1728305682,1728305684,1728305744,64m,448Mi,8,4
b3c82110-6a7b-4b1c-879e-9900bff78303,1728305721,1728305723,1728305749,64m,448Mi,8,1
b3c82110-6a7b-4b1c-879e-9900bff78303,1728305721,1728305723,1728305749,64m,448Mi,8,1
b3c82110-6a7b-4b1c-879e-9900bff78303,1728305721,1728305723,1728305749,64m,448Mi,8,1
097a02a9-4554-4695-8b3d-7d8a4e7c9320,1728305728,1728305731,1728305753,64m,448Mi,8,1
097a02a9-4554-4695-8b3d-7d8a4e7c9320,1728305728,1728305731,1728305753,64m,448Mi,8,1
097a02a9-4554-4695-8b3d-7d8a4e7c9320,1728305728,1728305731,1728305753,64m,448Mi,8,1
74c15550-9599-4614-a0e0-209cf8f7dfed,1728305754,1728305757,1728305781,64m,448Mi,8,1
74c15550-9599-4614-a0e0-209cf8f7dfed,1728305754,1728305757,1728305781,64m,448Mi,8,1
74c15550-9599-4614-a0e0-209cf8f7dfed,1728305754,1728305757,1728305781,64m,448Mi,8,1
37301ac1-a50b-4651-92f4-a6e6506263a6,1728305783,1728305786,1728305835,64m,448Mi,8,1
37301ac1-a50b-4651-92f4-a6e6506263a6,1728305783,1728305786,1728305835,64m,448Mi,8,1
37301ac1-a50b-4651-92f4-a6e6506263a6,1728305783,1728305786,1728305835,64m,448Mi,8,1
37301ac1-a50b-4651-92f4-a6e6506263a6,1728305783,1728305786,1728305835,64m,448Mi,8,1
ef407335-67b9-4abc-8758-c07c815aa908,1728305836,1728305838,1728305846,64m,448Mi,8,1
ef407335-67b9-4abc-8758-c07c815aa908,1728305836,1728305838,1728305846,64m,448Mi,8,1
ef407335-67b9-4abc-8758-c07c815aa908,1728305836,1728305838,1728305846,64m,448Mi,8,1
